,name,code,tag,avgamount,index_name,index_id,市盈率,市盈率百分位
0,50ETF基金,510800,宽基，大盘股,1243.75,上证50,000016.SH,10.46,0.5350590600653431
1,上证180ETF,510180,宽基，大盘股,5763.94,上证180,000010.SH,10.76,0.46834170854271356
2,300ETF天弘,515330,宽基，大盘股,1215.12,沪深300,000300.SH,12.06,0.4084507042253521
3,A股ETF,563330,宽基，综合,2399.66,A股指数,000002,12.1,
4,中证800ETF,515810,宽基，综合,1268.88,中证800,000906.SH,13.3,0.38467336683417086
5,上证综合ETF,510980,宽基，综合,2978.9,上证指数,000001.SH,13.61,0.47625031414928376
6,中证100ETF,512910,宽基，大盘股,1053.21,中证100,000903.SH,13.91,0.7969849246231155
7,中证A50ETF基金,561230,,5575.08,中证A50,930050.CSI,16.51,
8,深证100ETF广发,159576,宽基，大盘股,1479.98,深证100,399330.SZ,19.67,0.3236180904522613
9,深证成指ETF,159943,宽基，综合,1189.09,深证成指,399001.SZ,22.5,0.42623774817793414
10,中证500指数ETF,512510,宽基，中小盘,1701.08,中证500,000905.SH,23.63,0.23196783111334507
11,创业大盘ETF,159814,宽基，中小盘,3606.14,创业大盘,399293,25.4576,
12,创50ETF,159681,宽基，中小盘,1838.19,创业板50,399673.SZ,25.6,0.04621149042464613
13,创业板ETF天弘,159977,宽基，中小盘,5130.21,创业板R,399606,26.1403,
14,科创创业50ETF,588390,宽基，中小盘，科创板,1104.84,科创创业50,931643.CSI,27.88,0.153954802259887
15,创业板ETF南方,159948,宽基，中小盘,1370.38,创业板指,399006.SZ,28.55,0.041124260355029585
16,科创100ETF指数,588880,宽基，中小盘，科创板,4509.7,科创100,000698,30.76,
17,创业板200ETF华夏,159573,宽基，中小盘,2414.77,创业200,399019,33.4203,
18,中证1000指数ETF,516300,宽基，中小盘,1217.55,中证1000,000852.SH,38.38,0.4679017664799655
19,国证2000ETF,159907,宽基，中小盘,1263.28,国证2000,399303.SZ,38.65,0.28175895765472314
20,科创50增强策略ETF,588370,宽基，中小盘，科创板,1119.73,科创50,000688.SH,43.73,0.37273593898951385
21,创业板综ETF万家,159541,宽基，中小盘,2307.86,创业板综,399102.SZ,45.9,0.20240601503759398
22,2000增强ETF,159555,宽基，中小盘,1064.33,中证2000,932000.CSI,62.33,
